Bavette sul pesce Pasta risottata con scampetti totanini seppiette e gamberetti biondi,35
Fusillone al topinambur scampi e dressing alla birra,40
Scucuzzùn mantecato ai ceci di spello calamaro scottato alla salvia e profumo di agrumi,35
Ravioli all’ortica tartare di gambero rosso e il suo ristretto,40
Bottoni farciti di radicchio fonduta di Scoppolato di Pedona e perle di bitter,35
Vellutata di farro della Garfagnana e fagioli rossi di Sorana,25
Tagliolini al filetto di pomodoro e basilico di Prà,25
